Data,Produto,Inicial,Vendidos,Quebra,% Quebra,Estoque Final,Filial,Lucro Bruto
2025-01-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-01-01,BAGUETE DE FRANGO,,4.0,8.0,66.67,,1,-16.199999999999996
2025-01-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-01-01,FAGOTTO DE CALABRESA COM CHEDDAR,,23.0,5.0,17.86,,1,74.65
2025-01-01,FAGOTTO DE CARNE,,12.0,17.0,58.62,,1,-40.78
2025-01-01,FOLHADO DE PRESUNTO E QUEIJO,,12.0,8.0,40.0,,1,20.879999999999995
2025-01-01,CACHORRO QUENTE DE FORNO 160G,,8.0,6.0,42.86,,1,2.239999999999995
2025-01-01,PAO DE QUEIJO SUPER LANCHE,,207.0,149.0,41.85,,1,142.67000000000007
2025-01-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-01-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-01-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-01-01,EMPANADA DE FRANGO 140G,,9.0,15.0,62.5,,1,-16.289999999999992
2025-01-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-01-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-01-01,COXINHA DE FRANGO COM REQUEIJAO,,1.0,3.0,75.0,,1,-7.01
2025-01-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-01-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,0.0,4.0,100.0,,1,-18.56
2025-01-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-01-01,DONUT CRCTE DOCE DE LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-01-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-04-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-04-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-04-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-04-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-04-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-04-01,FAGOTTO DE CALABRESA COM CHEDDAR,,423.0,111.0,20.79,,1,1267.4100000000003
2025-04-01,FAGOTTO DE CARNE,,8.0,12.0,60.0,,1,-30.879999999999995
2025-04-01,FOLHADO DE PRESUNTO E QUEIJO,,29.0,15.0,34.09,,1,71.90999999999997
2025-04-01,CACHORRO QUENTE DE FORNO 160G,,1.0,9.0,90.0,,1,-50.21
2025-04-01,PAO DE QUEIJO SUPER LANCHE,,39.0,13.0,25.0,,1,60.19000000000001
2025-04-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-04-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-04-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPANADA DE FRANGO 140G,,2.0,8.0,80.0,,1,-22.52
2025-04-01,EMPADA DE FRANGO,,2.0,12.0,85.71,,1,-44.97999999999999
2025-04-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,7.0,100.0,,1,-18.9
2025-04-01,COXINHA DE FRANGO COM REQUEIJAO,,18.0,22.0,55.0,,1,9.819999999999991
2025-04-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-04-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,17.0,13.0,43.33,,1,30.630000000000024
2025-04-01,DONUT DE CHOCOLATE AO LEITE 75G,,1.0,0.0,0.0,,1,4.69
2025-04-01,DONUT CRCTE DOCE DE LEITE 75G,,20.0,7.0,25.93,,1,56.70000000000002
2025-04-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-05-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-05-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-05-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-05-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-05-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
